POINT_NUMBER,LEFT,TOP
1,1080,707
2,1081,688
3,1094,727
4,1092,708
5,1093,698
6,1093,685
7,1098,676
8,1109,723
9,1102,710
10,1103,699
11,1102,689
12,1111,681
13,1114,668
14,1114,617
15,1098,626
16,1101,597
17,1117,604
18,1101,586
19,1102,577
20,1126,602
21,1138,599
22,1156,591
23,1239,593
24,1275,557
25,1275,529
26,1275,502
27,1274,477
28,1275,448
29,1274,416
30,1268,403
31,1250,395
32,1166,395
33,1151,395
34,1138,398
35,1135,420
36,1137,449
37,1136,477
38,1137,506
39,1136,534
40,1136,562
41,1113,575
42,1122,540
43,1122,518
44,1122,497
45,1122,476
46,1122,454
47,1122,435
48,1126,384
49,1125,362
50,1125,342
51,1125,171
52,1124,151
53,1083,115
54,1025,115
55,982,140
56,983,173
57,712,517
58,712,506
59,704,499
60,704,477
61,702,461
62,712,434
63,711,423
64,703,389
65,703,370
66,710,341
67,702,323
68,704,313
69,704,303
70,701,289
71,709,272
72,702,242
73,962,196
74,751,198
75,730,197
76,1094,568
77,1080,567
78,1025,566
79,983,542
80,1100,555
81,1013,554
82,975,554
83,905,554
84,881,568
85,880,585
86,869,627
87,872,653
88,868,677
89,835,670
90,834,658
91,852,642
92,879,635
93,880,615
94,870,602
95,869,594
96,828,557
97,756,556
98,736,556
99,705,539
100,702,520
101,704,231
102,716,230
103,960,228
104,974,228
105,985,235
106,986,304
107,986,314
108,981,345
109,986,364
110,984,459
111,984,496
112,978,496
129,985,509
130,984,520
